기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2019.05	난지	395,420	136,467	12,607	113,485	113,732	-	19,129
2019.05	강서	237,336	78,957	46,955	108,177	1,973	-	1,274
2019.06	합계	6,819,316	2,978,289	777,619	1,352,399	208,433	1,373,156	129,420
2019.06	광나루	330,995	165,420	26,425	130,909	2,393	-	5,848
2019.06	잠실	422,623	171,535	96,540	150,175	500	-	3,873
2019.06	뚝섬	1,869,381	1,172,120	185,428	265,075	53,808	158,736	34,214
2019.06	잠원	146,425	52,559	50,500	40,862	50	-	2,454
2019.06	반포	717,874	358,849	43,756	137,239	3,446	159,325	15,259
2019.06	이촌	244,955	89,120	67,705	75,520	5,085	-	7,525
2019.06	여의도	2,045,349	565,510	178,980	154,600	60,800	1,055,095	30,364
2019.06	양화	204,484	92,703	12,545	91,713	6,591	-	932
2019.06	망원	252,852	94,443	53,578	87,595	13,566	-	3,670
2019.06	난지	344,660	136,560	13,120	110,685	59,985	-	24,310
2019.06	강서	239,718	79,470	49,042	108,026	2,209	-	971
2019.07	합계	5,870,990	2,557,336	634,885	1,229,723	183,489	1,033,026	232,531
2019.07	광나루	282,629	143,532	25,880	98,741	4,071	-	10,405
2019.07	잠실	376,964	130,451	87,955	142,500	1,795	-	14,263
2019.07	뚝섬	1,670,455	928,910	158,292	302,755	23,292	192,392	64,814
2019.07	잠원	133,184	41,565	42,387	38,375	-	-	10,857
2019.07	반포	539,117	277,947	33,483	89,503	1,551	124,671	11,962
2019.07	이촌	245,053	95,340	63,109	71,370	8,990	-	6,244
2019.07	여의도	1,689,028	565,185	102,011	148,915	77,824	715,963	79,130
2019.07	양화	188,374	84,680	14,211	83,292	3,327	-	2,864
2019.07	망원	238,946	90,610	50,072	80,156	14,172	-	3,936
2019.07	난지	299,570	119,955	13,988	92,142	46,255	-	27,230
2019.07	강서	207,670	79,161	43,497	81,974	2,212	-	826
2019.08	합계	6,774,275	3,096,697	694,140	1,339,870	205,881	1,032,811	404,876
2019.08	광나루	284,634	138,430	20,435	104,605	3,920	-	17,244
2019.08	잠실	418,320	170,832	82,471	128,148	9,900	-	26,969
2019.08	뚝섬	1,997,245	1,058,880	221,576	357,540	14,012	224,261	120,976
2019.08	잠원	148,132	46,220	44,165	39,127	-	-	18,620
2019.08	반포	596,088	296,901	33,302	113,945	3,388	133,579	14,973
2019.08	이촌	247,763	99,130	68,165	71,430	2,026	-	7,012
2019.08	여의도	2,023,348	858,590	100,567	150,412	75,775	674,971	163,033
2019.08	양화	240,024	110,874	17,322	105,311	4,509	-	2,008
2019.08	망원	227,306	89,627	43,958	76,095	13,068	-	4,558
2019.08	난지	342,570	127,837	11,378	97,578	77,097	-	28,680
2019.08	강서	248,845	99,376	50,801	95,679	2,186	-	803
2019.09	합계	6,217,109	3,066,651	769,247	1,279,021	167,373	805,472	129,345
2019.09	광나루	257,175	128,595	19,245	103,073	3,490	-	2,772
2019.09	잠실	344,496	137,980	66,662	132,375	2,230	-	5,249
2019.09	뚝섬	1,821,533	834,720	360,302	361,285	30,901	194,427	39,898
2019.09	잠원	136,850	48,735	43,690	41,743	799	-	1,883
2019.09	반포	595,256	317,588	36,262	110,519	4,015	112,514	14,358
2019.09	이촌	236,297	97,180	60,000	69,325	3,200	-	6,592
2019.09	여의도	1,908,495	1,137,857	61,064	124,181	45,602	498,531	41,260
2019.09	양화	222,552	99,731	20,785	97,261	3,491	-	1,284
2019.09	망원	196,677	71,184	44,232	63,646	13,831	-	3,784
2019.09	난지	277,940	111,270	10,595	86,575	57,950	-	11,550
2019.09	강서	219,838	81,811	46,410	89,038	1,864	-	715
2019.10	합계	6,915,114	2,995,668	789,492	1,323,800	935,841	740,714	129,599
2019.10	광나루	277,946	136,725	22,195	113,013	3,054	-	2,959
2019.10	잠실	533,111	211,541	82,716	158,836	71,750	-	8,268
2019.10	뚝섬	1,796,137	929,460	268,497	336,090	31,199	189,862	41,029
2019.10	잠원	174,555	62,420	53,355	52,780	4,306	-	1,694
2019.10	반포	672,043	369,087	42,026	121,502	4,895	121,032	13,501
2019.10	이촌	557,018	372,870	81,340	89,635	3,850	-	9,323
2019.10	여의도	1,871,245	491,440	112,685	78,750	734,050	429,820	24,500
2019.10	양화	257,524	123,620	23,965	104,884	2,864	-	2,191
2019.10	망원	210,729	79,109	40,112	64,292	20,815	-	6,401
2019.10	난지	322,870	127,605	11,885	108,780	55,805	-	18,795
2019.10	강서	241,936	91,791	50,716	95,238	3,253	-	938
2019.11	합계	3,894,836	1,567,395	631,068	893,513	122,803	595,851	84,206
2019.11	광나루	212,218	109,720	19,483	77,413	5,225	-	377
2019.11	잠실	289,689	119,916	54,795	112,682	795	-	1,501
2019.11	뚝섬	1,310,614	670,150	232,589	227,155	17,518	135,657	27,545
2019.11	잠원	125,115	44,875	41,010	37,790	570	-	870
2019.11	반포	433,432	201,917	30,181	78,228	2,348	111,494	9,264
2019.11	이촌	187,290	72,880	53,450	53,135	4,040	-	3,785
2019.11	여의도	668,450	84,590	97,050	68,830	45,500	348,700	23,780
2019.11	양화	150,372	65,126	26,282	56,400	1,268	-	1,296
2019.11	망원	144,881	48,258	32,892	44,473	14,819	-	4,439
2019.11	난지	191,320	75,210	8,490	68,000	28,740	-	10,880
2019.11	강서	181,455	74,753	34,846	69,407	1,980	-	469
2019.12	합계	3,346,762	1,442,621	547,160	731,719	79,472	477,371	68,419
2019.12	광나루	186,660	102,440	19,109	62,740	2,116	-	255
2019.12	잠실	232,068	95,705	56,497	78,398	645	-	823
2019.12	뚝섬	1,293,130	672,650	233,403	209,845	11,831	136,076	29,325
2019.12	잠원	106,431	40,445	33,473	31,861	15	-	637
2019.12	반포	320,284	147,772	24,902	51,801	2,311	88,127	5,371
2019.12	이촌	165,890	71,330	44,495	46,370	1,040	-	2,655
2019.12	여의도	485,409	78,717	45,461	53,922	32,776	253,168	21,365
2019.12	양화	142,823	59,388	31,582	50,060	816	-	977
2019.12	망원	104,435	39,523	21,777	30,405	8,717	-	4,013
2019.12	난지	146,140	65,563	6,822	53,360	17,720	-	2,675
2019.12	강서	163,492	69,088	29,639	62,957	1,485	-	323
