기간	구분	합계	일반이용자	운동시설	자전거	주요행사 및 마라톤	특화공원	기타
2014.10	양화	447,854	206,860	37,113	190,986	7,546	-	5,349
2014.10	망원	504,930	322,550	72,070	101,620	3,860	-	4,830
2014.10	난지	493,456	176,040	14,763	95,080	6,860	178,470	22,243
2014.10	강서	299,825	92,537	41,931	162,564	2,340	-	453
2014.11	합계	4,095,622	1,482,600	404,461	1,116,780	97,185	916,609	77,987
2014.11	광나루	310,445	123,368	49,987	126,937	9,400	-	753
2014.11	잠실	154,626	70,442	15,772	59,629	4,078	-	4,705
2014.11	뚝섬	933,630	319,580	95,496	224,020	36,112	240,588	17,834
2014.11	잠원	150,566	87,626	9,140	48,818	-	-	4,982
2014.11	반포	291,596	95,793	42,583	70,427	15,130	66,299	1,364
2014.11	이촌	294,726	109,360	49,890	125,430	500	-	9,546
2014.11	여의도	800,349	223,445	9,787	91,992	20,944	428,162	26,019
2014.11	양화	211,473	85,945	28,087	90,972	3,888	-	2,581
2014.11	망원	221,545	93,540	51,470	72,440	1,855	-	2,240
2014.11	난지	535,360	210,096	18,583	114,460	3,070	181,560	7,591
2014.11	강서	191,306	63,405	33,666	91,655	2,208	-	372
2014.12	합계	2,876,513	1,377,995	243,727	649,509	20,339	525,916	59,027
2014.12	광나루	222,250	91,784	40,365	85,831	3,820	-	450
2014.12	잠실	98,710	47,373	8,554	35,003	3,583	-	4,197
2014.12	뚝섬	936,013	574,572	52,934	170,541	4,745	117,739	15,482
2014.12	잠원	113,681	64,989	10,392	29,865	-	-	8,435
2014.12	반포	232,152	76,314	34,454	51,630	24	68,670	1,060
2014.12	이촌	153,716	71,130	25,770	51,840	-	-	4,976
2014.12	여의도	450,399	145,060	5,629	32,202	2,601	245,182	19,725
2014.12	양화	106,536	54,424	13,123	36,440	1,200	-	1,349
2014.12	망원	147,310	71,970	29,995	42,810	1,395	-	1,140
2014.12	난지	325,405	143,215	7,498	75,680	2,610	94,325	2,077
2014.12	강서	90,341	37,164	15,013	37,667	361	-	136
2015.01	합계	2,705,168	1,145,639	304,201	658,457	25,976	482,738	88,157
2015.01	광나루	209,080	79,005	42,671	82,095	4,668	-	641
2015.01	잠실	128,977	64,408	14,413	40,966	3,652	-	5,538
2015.01	뚝섬	700,240	281,780	81,467	141,730	7,528	138,299	49,436
2015.01	잠원	114,842	66,230	9,920	31,793	320	-	6,579
2015.01	반포	245,140	88,684	39,192	57,375	-	58,661	1,228
2015.01	이촌	164,538	78,090	26,670	54,830	-	-	4,948
2015.01	여의도	352,638	113,224	4,939	32,326	3,035	183,988	15,126
2015.01	양화	139,181	68,045	13,615	54,418	1,468	-	1,635
2015.01	망원	183,200	84,280	38,450	56,750	2,260	-	1,460
2015.01	난지	369,424	183,335	13,204	67,275	2,550	101,790	1,270
2015.01	강서	97,908	38,558	19,660	38,899	495	-	296
2015.02	합계	2,781,299	1,112,492	307,485	725,456	44,340	499,031	92,495
2015.02	광나루	208,861	70,271	41,911	85,710	10,379	-	590
2015.02	잠실	110,896	56,836	11,840	31,210	6,672	-	4,338
2015.02	뚝섬	781,974	314,412	70,843	193,613	7,815	161,556	33,735
2015.02	잠원	108,039	53,244	11,635	30,345	7,000	-	5,815
2015.02	반포	248,158	86,025	40,492	56,415	-	63,870	1,356
2015.02	이촌	197,865	83,735	39,500	66,145	-	-	8,485
2015.02	여의도	420,794	123,690	4,712	45,702	4,340	208,760	33,590
2015.02	양화	152,935	69,208	17,836	61,822	2,298	-	1,771
2015.02	망원	170,580	78,720	38,630	49,870	1,930	-	1,430
2015.02	난지	276,395	136,835	9,678	60,795	3,185	64,845	1,057
2015.02	강서	104,802	39,516	20,408	43,829	721	-	328
2015.03	합계	4,314,813	1,692,477	455,776	1,159,344	63,952	838,328	104,936
2015.03	광나루	268,620	85,291	52,566	122,583	7,585	-	595
2015.03	잠실	157,616	66,675	14,232	52,742	18,573	-	5,394
2015.03	뚝섬	1,201,565	500,178	138,305	279,295	24,976	233,444	25,367
2015.03	잠원	126,499	65,350	21,436	33,367	-	-	6,346
2015.03	반포	335,796	111,794	45,844	69,997	-	106,722	1,439
2015.03	이촌	285,260	122,800	50,070	100,590	-	-	11,800
2015.03	여의도	837,829	273,454	7,558	100,492	3,412	409,737	43,176
2015.03	양화	268,540	118,862	28,305	115,653	2,010	-	3,710
2015.03	망원	227,780	100,230	49,430	72,320	3,270	-	2,530
2015.03	난지	377,090	191,390	16,858	73,200	3,045	88,425	4,172
2015.03	강서	228,218	56,453	31,172	139,105	1,081	-	407
2015.04	합계	6,213,826	2,427,928	497,499	1,443,956	107,411	1,545,468	191,564
2015.04	광나루	261,226	83,744	50,164	120,145	5,880	-	1,293
2015.04	잠실	147,743	65,585	17,022	51,885	7,239	-	6,012
2015.04	뚝섬	1,357,091	448,259	141,167	434,976	52,511	251,124	29,054
2015.04	잠원	163,826	77,920	26,080	52,320	220	-	7,286
2015.04	반포	374,358	127,330	48,977	75,430	-	120,900	1,721
2015.04	이촌	295,733	120,453	54,570	107,750	400	-	12,560
2015.04	여의도	2,250,116	934,861	8,585	153,323	14,432	1,043,794	95,121
2015.04	양화	389,968	177,148	41,370	161,042	4,479	-	5,929
2015.04	망원	229,240	97,730	50,190	72,850	5,320	-	3,150
2015.04	난지	502,571	229,240	21,097	77,820	15,710	129,650	29,054
2015.04	강서	241,954	65,658	38,277	136,415	1,220	-	384
2015.05	합계	7,770,685	2,887,237	648,716	1,841,912	208,515	1,996,108	188,197
2015.05	광나루	325,786	91,670	70,139	152,869	9,514	-	1,594
2015.05	잠실	203,222	92,255	25,523	69,436	8,256	-	7,752
2015.05	뚝섬	1,532,258	515,991	138,192	353,269	56,557	426,488	41,761
2015.05	잠원	335,156	157,415	50,215	106,685	8,570	-	12,271
2015.05	반포	689,660	218,320	66,510	162,090	5,000	234,733	3,007
2015.05	이촌	450,526	184,476	91,705	144,420	70	-	29,855
2015.05	여의도	2,410,584	935,352	13,889	191,143	16,384	1,178,142	75,674
2015.05	양화	552,857	231,200	58,055	252,861	3,371	-	7,370
2015.05	망원	308,380	128,730	60,930	101,200	11,860	-	5,660
2015.05	난지	601,901	230,310	26,901	97,715	87,535	156,745	2,695
2015.05	강서	360,355	101,518	46,657	210,224	1,398	-	558
2015.06	합계	5,371,905	1,793,712	581,909	1,532,445	70,383	1,211,873	181,583
2015.06	광나루	294,938	92,640	59,592	139,526	2,331	-	849
2015.06	잠실	167,644	75,995	13,952	63,920	4,352	-	9,425
2015.06	뚝섬	1,333,447	416,400	88,650	418,105	46,769	277,495	86,028
2015.06	잠원	345,788	146,980	63,185	125,875	90	-	9,658
2015.06	반포	551,602	163,665	77,785	108,997	-	198,356	2,799
2015.06	이촌	435,090	169,590	93,440	138,200	-	-	33,860
2015.06	여의도	932,363	245,221	16,828	78,059	5,464	568,302	18,489
2015.06	양화	295,263	110,563	45,037	135,125	679	-	3,859
2015.06	망원	272,135	117,120	57,070	89,130	3,765	-	5,050
2015.06	난지	475,305	178,780	24,233	87,380	6,075	167,720	11,117
2015.06	강서	268,330	76,758	42,137	148,128	858	-	449
2015.07	합계	6,804,488	2,246,777	631,723	1,514,528	79,393	2,094,315	237,752
2015.07	광나루	390,698	127,281	74,900	173,930	4,968	-	9,619
2015.07	잠실	185,154	83,459	12,753	66,346	2,148	-	20,448
2015.07	뚝섬	1,274,014	502,547	106,824	287,835	40,944	283,073	52,791
2015.07	잠원	390,833	167,860	58,915	133,680	-	-	30,378
2015.07	반포	549,779	169,340	86,560	111,420	2,850	176,823	2,786
2015.07	이촌	386,044	151,970	72,700	126,755	-	-	34,619
2015.07	여의도	2,062,852	489,587	35,148	129,241	12,241	1,351,346	45,289
2015.07	양화	390,052	155,688	63,680	159,569	1,944	-	9,171
2015.07	망원	266,124	113,430	48,360	86,110	3,120	-	15,104
2015.07	난지	650,398	207,780	25,433	106,440	10,485	283,073	17,187
2015.07	강서	258,540	77,835	46,450	133,202	693	-	360
2015.08	합계	13,203,727	5,008,693	1,383,789	2,576,813	527,484	3,029,780	677,168
2015.08	광나루	533,248	160,000	111,952	230,685	5,789	-	24,822
2015.08	잠실	274,899	113,515	13,178	92,661	12,490	-	43,055
2015.08	뚝섬	3,926,514	1,650,196	573,439	462,367	42,807	984,071	213,634
2015.08	잠원	426,568	204,925	5,350	199,129	9,611	-	7,553
2015.08	반포	691,524	246,930	89,450	138,900	12,348	200,820	3,076
2015.08	이촌	1,489,105	615,800	318,695	328,240	70,490	-	155,880
2015.08	여의도	2,822,946	836,218	19,714	145,034	328,521	1,394,449	99,010
2015.08	양화	1,038,635	458,156	69,793	439,544	11,797	-	59,345
2015.08	망원	412,908	166,790	67,520	121,800	6,813	-	49,985
2015.08	난지	1,243,982	473,865	66,836	206,665	25,785	450,440	20,391
2015.08	강서	343,398	82,298	47,862	211,788	1,033	-	417
2015.09	합계	8,161,326	2,830,657	689,146	1,919,671	226,369	2,318,873	176,610
2015.09	광나루	408,081	115,720	90,678	193,530	7,050	-	1,103
2015.09	잠실	208,038	92,904	20,607	80,817	5,207	-	8,503
2015.09	뚝섬	1,554,160	535,046	116,843	344,738	25,339	474,465	57,729
2015.09	잠원	359,034	190,697	1,610	155,770	9,777	-	1,180
2015.09	반포	644,430	192,323	81,196	122,398	28,414	217,896	2,203
2015.09	이촌	673,590	383,330	63,160	199,460	-	-	27,640
2015.09	여의도	2,306,074	604,174	17,255	159,627	35,883	1,441,237	47,898
2015.09	양화	404,187	152,841	71,122	172,455	3,993	-	3,776
2015.09	망원	611,790	264,140	133,580	199,120	9,080	-	5,870
2015.09	난지	643,155	197,115	35,101	104,865	100,545	185,275	20,254
2015.09	강서	348,787	102,367	57,994	186,891	1,081	-	454
2015.10	합계	8,699,644	3,135,463	680,469	923,954	1,437,012	2,188,661	334,085
2015.10	광나루	345,873	110,495	80,990	145,027	8,536	-	825
2015.10	잠실	189,648	78,071	19,615	69,019	14,757	-	8,186
2015.10	뚝섬	1,153,003	531,454	114,587	116,500	38,877	274,265	77,320
2015.10	잠원	423,156	217,645	79,578	107,675	2,770	-	15,488
2015.10	반포	632,266	183,020	83,988	97,246	-	193,285	74,727
2015.10	이촌	894,940	318,550	74,060	31,690	450,000	-	20,640
2015.10	여의도	3,457,433	1,049,925	19,147	135,387	672,862	1,525,011	55,101
2015.10	양화	386,143	229,998	63,624	85,655	2,790	-	4,076
2015.10	망원	477,750	143,900	74,220	26,750	227,130	-	5,750
2015.10	난지	480,286	177,655	16,737	-	18,200	196,100	71,594
2015.10	강서	259,146	94,750	53,923	109,005	1,090	-	378
2015.11	합계	1,490,229	559,965	226,141	369,010	65,456	160,342	109,315
2015.11	광나루	108,444	19,804	5,758	73,456	8,957	-	469
2015.11	잠실	55,648	14,071	9,615	9,019	14,757	-	8,186
2015.11	뚝섬	153,886	48,391	8,767	24,310	15,265	36,133	21,020
2015.11	잠원	53,891	29,293	6,035	5,545	-	-	13,018
2015.11	반포	259,640	30,010	59,117	85,783	-	81,939	2,791
2015.11	이촌	95,917	35,287	14,810	33,120	-	-	12,700
2015.11	여의도	196,116	59,910	8,182	38,173	7,444	42,270	40,137
2015.11	양화	114,352	36,031	41,544	34,520	258	-	1,999
